ERROR: Unable to locate a modulefile for 'eb'
learning_rate : 0.0001
max_steps : 5000
batch_size : 32
eval_freq : 500
data_dir : ./cifar10/cifar-10-batches-py
epoch 1 avg accuracy on training data: 0.2456813819577735
epoch 2 avg accuracy on training data: 0.3379081306017926
epoch 3 avg accuracy on training data: 0.37213908450704225
epoch 4 avg accuracy on training data: 0.39234555057618437
epoch 5 avg accuracy on training data: 0.4392605633802817
epoch 6 avg accuracy on training data: 0.4986195582586428
epoch 7 avg accuracy on training data: 0.5132242317541613
epoch 8 avg accuracy on training data: 0.5248079385403329
epoch 9 avg accuracy on training data: 0.5350912291933418
epoch 10 avg accuracy on training data: 0.54211347631242
epoch 11 avg accuracy on training data: 0.5483554737516005
epoch 12 avg accuracy on training data: 0.5532570422535211
epoch 13 avg accuracy on training data: 0.5582186299615877
epoch 14 avg accuracy on training data: 0.5599191741357235
epoch 15 avg accuracy on training data: 0.5652208706786171
epoch 16 avg accuracy on training data: 0.5661411651728553
epoch 17 avg accuracy on training data: 0.5679417413572343
epoch 18 avg accuracy on training data: 0.5696222791293214
epoch 19 avg accuracy on training data: 0.5720230473751601
epoch 20 avg accuracy on training data: 0.5727632842509603
epoch 21 avg accuracy on training data: 0.5748039372599232
epoch 22 avg accuracy on training data: 0.5746838988476313
epoch 23 avg accuracy on training data: 0.5761243597951344
epoch 24 avg accuracy on training data: 0.5767845710627401
epoch 25 avg accuracy on training data: 0.5781049935979513
epoch 26 avg accuracy on training data: 0.578885243277849
epoch 27 avg accuracy on training data: 0.5791253201024328
epoch 28 avg accuracy on training data: 0.5790252880921894
epoch 29 avg accuracy on training data: 0.5796854993597952
epoch 30 avg accuracy on training data: 0.5811259603072984
epoch 31 avg accuracy on training data: 0.5813860435339309
epoch 32 avg accuracy on training data: 0.581266005121639
epoch 33 avg accuracy on training data: 0.5821862996158771
epoch 34 avg accuracy on training data: 0.5830465749039693
epoch 35 avg accuracy on training data: 0.5824663892445583
epoch 36 avg accuracy on training data: 0.5827264724711908
epoch 37 avg accuracy on training data: 0.5837267925736236
epoch 38 avg accuracy on training data: 0.5836467669654289
epoch 39 avg accuracy on training data: 0.5834667093469911
epoch 40 avg accuracy on training data: 0.5842269526248399
epoch 41 avg accuracy on training data: 0.5849271766965429
epoch 42 avg accuracy on training data: 0.5840268886043534
epoch 43 avg accuracy on training data: 0.5842669654289373
epoch 44 avg accuracy on training data: 0.625060019206146
epoch 45 avg accuracy on training data: 0.7234915172855314
epoch 46 avg accuracy on training data: 0.7423575544174136
epoch 47 avg accuracy on training data: 0.7520206466069143
epoch 48 avg accuracy on training data: 0.7601032330345711
epoch 49 avg accuracy on training data: 0.7643045774647887
epoch 50 avg accuracy on training data: 0.7688060179257362
epoch 51 avg accuracy on training data: 0.7707266325224071
epoch 52 avg accuracy on training data: 0.7731474071702945
epoch 53 avg accuracy on training data: 0.7745478553137004
epoch 54 avg accuracy on training data: 0.7747279129321383
epoch 55 avg accuracy on training data: 0.7766085147247119
epoch 56 avg accuracy on training data: 0.7773087387964148
epoch 57 avg accuracy on training data: 0.7771686939820742
epoch 58 avg accuracy on training data: 0.7785891485275288
epoch 59 avg accuracy on training data: 0.7791893405889885
epoch 60 avg accuracy on training data: 0.7796294814340589
epoch 61 avg accuracy on training data: 0.7805097631241997
epoch 62 avg accuracy on training data: 0.7810699423815621
epoch 63 avg accuracy on training data: 0.7801896606914213
epoch 64 avg accuracy on training data: 0.7826904609475032
epoch 65 avg accuracy on training data: 0.7815701024327785
epoch 66 avg accuracy on training data: 0.78229033290653
epoch 67 avg accuracy on training data: 0.7821702944942381
epoch 68 avg accuracy on training data: 0.7828104993597952
epoch 69 avg accuracy on training data: 0.7833106594110115
epoch 70 avg accuracy on training data: 0.7831506081946222
epoch 71 avg accuracy on training data: 0.7835107234314981
epoch 72 avg accuracy on training data: 0.7834306978233034
epoch 73 avg accuracy on training data: 0.7844710307298336
epoch 74 avg accuracy on training data: 0.7836707746478874
epoch 75 avg accuracy on training data: 0.7840108834827144
epoch 76 avg accuracy on training data: 0.7846911011523687
epoch 77 avg accuracy on training data: 0.7844510243277849
epoch 78 avg accuracy on training data: 0.7844510243277849
epoch 79 avg accuracy on training data: 0.7852712868117798
epoch 80 avg accuracy on training data: 0.7851512483994878
epoch 81 avg accuracy on training data: 0.7860515364916774
epoch 82 avg accuracy on training data: 0.7847911331626121
epoch 83 avg accuracy on training data: 0.786131562099872
epoch 84 avg accuracy on training data: 0.7863316261203586
epoch 85 avg accuracy on training data: 0.7857914532650448
epoch 86 avg accuracy on training data: 0.7869318181818182
epoch 87 avg accuracy on training data: 0.7852712868117798
epoch 88 avg accuracy on training data: 0.7867917733674776
epoch 89 avg accuracy on training data: 0.7861515685019206
epoch 90 avg accuracy on training data: 0.7862916133162612
epoch 91 avg accuracy on training data: 0.7868317861715749
epoch 92 avg accuracy on training data: 0.7869518245838668
epoch 93 avg accuracy on training data: 0.7869718309859155
epoch 94 avg accuracy on training data: 0.7873919654289373
epoch 95 avg accuracy on training data: 0.7869918373879642
epoch 96 avg accuracy on training data: 0.7866717349551856
epoch 97 avg accuracy on training data: 0.7871318822023048
epoch 98 avg accuracy on training data: 0.7873119398207427
epoch 99 avg accuracy on training data: 0.7875920294494239
epoch 100 avg accuracy on training data: 0.7871118758002561
epoch 101 avg accuracy on training data: 0.7865316901408451
epoch 102 avg accuracy on training data: 0.787752080665813
epoch 103 avg accuracy on training data: 0.7875520166453265
epoch 104 avg accuracy on training data: 0.7881922215108835
epoch 105 avg accuracy on training data: 0.7879121318822023
epoch 106 avg accuracy on training data: 0.7869318181818182
epoch 107 avg accuracy on training data: 0.7883122599231754
epoch 108 avg accuracy on training data: 0.7879121318822023
epoch 109 avg accuracy on training data: 0.7884923175416133
epoch 110 avg accuracy on training data: 0.7881922215108835
epoch 111 avg accuracy on training data: 0.7887524007682458
epoch 112 avg accuracy on training data: 0.7878921254801536
epoch 113 avg accuracy on training data: 0.7891125160051217
epoch 114 avg accuracy on training data: 0.788512323943662
epoch 115 avg accuracy on training data: 0.7874319782330346
epoch 116 avg accuracy on training data: 0.7890725032010243
epoch 117 avg accuracy on training data: 0.7874719910371318
epoch 118 avg accuracy on training data: 0.7890124839948783
epoch 119 avg accuracy on training data: 0.7893525928297055
epoch 120 avg accuracy on training data: 0.7887123879641486
epoch 121 avg accuracy on training data: 0.789032490396927
epoch 122 avg accuracy on training data: 0.7895326504481434
epoch 123 avg accuracy on training data: 0.7889924775928298
epoch 124 avg accuracy on training data: 0.7880921895006402
epoch 125 avg accuracy on training data: 0.7897727272727273
epoch 126 avg accuracy on training data: 0.7888924455825864
epoch 127 avg accuracy on training data: 0.7884923175416133
epoch 128 avg accuracy on training data: 0.7896326824583867
epoch 129 avg accuracy on training data: 0.7893926056338029
epoch 130 avg accuracy on training data: 0.7891525288092189
epoch 131 avg accuracy on training data: 0.7893725992317542
epoch 132 avg accuracy on training data: 0.789092509603073
epoch 133 avg accuracy on training data: 0.7891925416133163
epoch 134 avg accuracy on training data: 0.7898927656850192
epoch 135 avg accuracy on training data: 0.7893725992317542
epoch 136 avg accuracy on training data: 0.7891925416133163
epoch 137 avg accuracy on training data: 0.7893525928297055
epoch 138 avg accuracy on training data: 0.7901528489116517
epoch 139 avg accuracy on training data: 0.7896326824583867
epoch 140 avg accuracy on training data: 0.7900928297055058
epoch 141 avg accuracy on training data: 0.7899327784891165
epoch 142 avg accuracy on training data: 0.7902728873239436
epoch 143 avg accuracy on training data: 0.7898727592829705
epoch 144 avg accuracy on training data: 0.7901528489116517
epoch 145 avg accuracy on training data: 0.7897527208706786
epoch 146 avg accuracy on training data: 0.7904129321382842
epoch 147 avg accuracy on training data: 0.7901128361075545
epoch 148 avg accuracy on training data: 0.7903529129321383
epoch 149 avg accuracy on training data: 0.7897127080665813
epoch 150 avg accuracy on training data: 0.7906129961587708
epoch 151 avg accuracy on training data: 0.7898127400768246
epoch 152 avg accuracy on training data: 0.790132842509603
epoch 153 avg accuracy on training data: 0.790192861715749
epoch 154 avg accuracy on training data: 0.7898327464788732
epoch 155 avg accuracy on training data: 0.7908130601792573
epoch 156 avg accuracy on training data: 0.7906530089628682
epoch 157 avg accuracy on training data: 0.7902928937259923
epoch 158 avg accuracy on training data: 0.7906930217669654
epoch 159 avg accuracy on training data: 0.790192861715749
epoch 160 avg accuracy on training data: 0.7906930217669654
epoch 161 avg accuracy on training data: 0.7902928937259923
epoch 162 avg accuracy on training data: 0.7905929897567221
epoch 163 avg accuracy on training data: 0.7905529769526248
epoch 164 avg accuracy on training data: 0.7916333226632523
epoch 165 avg accuracy on training data: 0.7907530409731114
epoch 166 avg accuracy on training data: 0.7911731754161332
epoch 167 avg accuracy on training data: 0.7904929577464789
epoch 168 avg accuracy on training data: 0.7905729833546735
epoch 169 avg accuracy on training data: 0.7902128681177977
epoch 170 avg accuracy on training data: 0.7912732074263764
epoch 171 avg accuracy on training data: 0.7911131562099872
epoch 172 avg accuracy on training data: 0.790893085787452
epoch 173 avg accuracy on training data: 0.7913132202304738
epoch 174 avg accuracy on training data: 0.7908530729833547
epoch 175 avg accuracy on training data: 0.7909731113956466
epoch 176 avg accuracy on training data: 0.7917133482714469
epoch 177 avg accuracy on training data: 0.7908730793854033
epoch 178 avg accuracy on training data: 0.7910531370038413
epoch 179 avg accuracy on training data: 0.7916733354673495
epoch 180 avg accuracy on training data: 0.7915733034571063
epoch 181 avg accuracy on training data: 0.7908730793854033
epoch 182 avg accuracy on training data: 0.7903329065300896
epoch 183 avg accuracy on training data: 0.7916333226632523
epoch 184 avg accuracy on training data: 0.7906330025608195
epoch 185 avg accuracy on training data: 0.7917533610755442
epoch 186 avg accuracy on training data: 0.7909731113956466
epoch 187 avg accuracy on training data: 0.7917333546734955
epoch 188 avg accuracy on training data: 0.7909330985915493
epoch 189 avg accuracy on training data: 0.7910731434058899
epoch 190 avg accuracy on training data: 0.7915933098591549
epoch 191 avg accuracy on training data: 0.7911131562099872
